station,PM25,PM10,SO2,NO2,CO,O3
Aotizhongxin,81.86363036303631,109.12068521137829,17.167205280528055,58.976331918906176,1256.5747289014616,56.240937802923156
Changping,70.31232826412901,94.08640188488725,15.061356751629388,44.31903533857593,1151.7164407453872,57.42454079128546
Dingling,66.51251836708617,84.5278029770651,11.944167252283906,27.267578100044723,916.5472113971763,69.44969782150388
Dongsi,84.93315643747115,110.99191443074693,16.994465686597664,53.717313985760434,1316.524391851803,56.79748177203508
Guanyuan,83.1010507392369,108.97455909245886,17.263085069584353,57.69859070762173,1265.7097604066578,55.83298249387844
Gucheng,83.86565345803594,119.08500184592666,15.095190007383707,55.58387854725572,1325.5096911149396,58.28065083066699
Huairou,70.28566923173962,92.5257915983348,12.275823136117069,32.633827425255454,1032.3982906522012,59.722474189478994
Nongzhanguan,84.72078275049827,109.17592861025548,18.56019810352117,58.213456782629706,1327.7843812284834,58.61490524249562
Shunyi,79.40072530966417,99.3805458038021,14.144104789030932,44.83848316221766,1201.778267205405,55.297919374710204
Tiantan,81.74984014858569,105.62786590749931,14.140742319520141,53.21308315318333,1297.4341868891393,55.29703017994702
Wanliu,81.98145851015212,108.76586146112163,17.700088215708035,64.42928958020501,1293.4501534242997,49.47483624730692
Wanshouxigong,84.23851013183594,111.91869201660157,17.152568701171877,55.30718125915527,1362.5316467285156,55.922621685791015
